17:54:48 | INFO     | Conexion Binance establecida.
17:54:48 | INFO     | Conectando a Binance...
17:54:49 | INFO     | Conexion Binance establecida.
17:54:50 | INFO     | Conectando a Binance...
17:54:50 | INFO     | Conexion Binance establecida.
17:54:51 | INFO     | Conectando a Binance...
17:54:52 | INFO     | Conexion Binance establecida.
17:54:52 | INFO     | Conectando a Binance...
17:54:52 | INFO     | Conexion Binance establecida.
17:55:03 | INFO     | Conectando a Binance...
17:55:03 | INFO     | Conexion Binance establecida.
17:55:04 | INFO     | Conectando a Binance...
17:55:04 | INFO     | Conexion Binance establecida.
17:55:05 | INFO     | Conectando a Binance...
17:55:05 | INFO     | Conexion Binance establecida.
17:55:06 | INFO     | Conectando a Binance...
17:55:06 | INFO     | Conexion Binance establecida.
17:55:06 | INFO     | Conectando a Binance...
17:55:07 | INFO     | Conexion Binance establecida.
17:55:17 | INFO     | Conectando a Binance...
17:55:18 | INFO     | Conexion Binance establecida.
17:55:18 | INFO     | Conectando a Binance...
17:55:19 | INFO     | Conexion Binance establecida.
17:55:19 | INFO     | Conectando a Binance...
17:55:20 | INFO     | Conexion Binance establecida.
17:55:20 | INFO     | Conectando a Binance...
17:55:21 | INFO     | Conexion Binance establecida.
17:55:21 | INFO     | Conectando a Binance...
17:55:22 | INFO     | Conexion Binance establecida.
17:55:32 | INFO     | Conectando a Binance...
17:55:33 | INFO     | Conexion Binance establecida.
17:55:33 | INFO     | Conectando a Binance...
17:55:34 | INFO     | Conexion Binance establecida.
17:55:34 | INFO     | Conectando a Binance...
17:55:35 | INFO     | Conexion Binance establecida.
17:55:35 | INFO     | Conectando a Binance...
17:55:36 | INFO     | Conexion Binance establecida.
17:55:36 | INFO     | Conectando a Binance...
17:55:37 | INFO     | Conexion Binance establecida.
17:55:37 | INFO     | Conectando a Binance...
17:55:38 | INFO     | Conexion Binance establecida.
17:55:40 | WARNING  | Todas las keys en cooldown. La proxima disponible en 5s
17:55:48 | INFO     | Conectando a Binance...
17:55:49 | INFO     | Conexion Binance establecida.
17:55:49 | INFO     | Conectando a Binance...
17:55:50 | INFO     | Conexion Binance establecida.
17:55:50 | INFO     | Conectando a Binance...
17:55:51 | INFO     | Conexion Binance establecida.
17:55:51 | INFO     | Conectando a Binance...
17:55:51 | INFO     | Conexion Binance establecida.
17:55:52 | INFO     | Conectando a Binance...
17:55:52 | INFO     | Conexion Binance establecida.
17:56:03 | INFO     | Conectando a Binance...
17:56:03 | INFO     | Conexion Binance establecida.
17:56:04 | INFO     | Conectando a Binance...
17:56:04 | INFO     | Conexion Binance establecida.
17:56:05 | INFO     | Conectando a Binance...
17:56:05 | INFO     | Conexion Binance establecida.
17:56:06 | INFO     | Conectando a Binance...
17:56:06 | INFO     | Conexion Binance establecida.
17:56:06 | INFO     | Conectando a Binance...
17:56:07 | INFO     | Conexion Binance establecida.
17:56:17 | INFO     | Conectando a Binance...
17:56:18 | INFO     | Conexion Binance establecida.
